company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
tennishub.in,E-Commerce,Tennis,Hyderabad,Andhra Pradesh,Tennishub.in is a tennis equipment store with an ever-expanding stock of tennis equipment and gear for both beginners and professionals.,—,—,2013,www.tennishub.in,3,Afroze Khan,R. Jagadeesan,01-Oct,1,M&A,"Feb 5, 2016","$ 1,26,000.00",Angel,"$ 1,26,000.00",Junaid Ahmed,,,,,1
GAMOOZ,Augmented Reality,Education,Gurgaon,Haryana,GAMOOZ - Augmented Reality Platform for adding fun and Interactivity to Print Books,122018,Less than $1M,"May 5, 2012",gamooz.com,1,Gaurav Wadhwa,,Nov-50,1,Seed,"Jan 31, 2016","₹ 25,00,000.00",Angel,"₹ 25,00,000.00",,,,,,—
Shop pirate,E-Commerce,Internet,Hyderabad,Andhra Pradesh,Shop pirate is India’s leading coupons and deals provider owned by Snippets IT Solutions Pvt,500034,Less than $1M,2013,www.shoppirate.in/,2,Kulpreet Kaur,Suresh Kumar,Nov-50,1,Seed,"Jun 19, 2014","₹ 50,00,000.00",Seed,"₹ 50,00,000.00",Confidence Holding,,,,,1
Interview Master,Human Resources,Recruiting,Bangalore,Karnataka,"Interview Master is an end-to-end recruitment solution providing application tracking systems, written tests and automated video interviews.",560015,$1M to $10M,"May 1, 2012",www.interviewmaster.in,3,Jobin Jose,Subramanian Kailasam,Nov-50,4,Seed,"Sep 4, 2014","$ 6,50,000.00",Angel,"$ 6,50,000.00",500 Global,Artha Group,VentureNursery,,,3
FincSquare,Financial Services,Information Technology,Hyderabad,Andhra Pradesh,"FincSquare is a P2P lending platform that offers various financial services like savings, loans, insurance, and more.",500085,—,2014,www.fincsquare.com/,1,Sanjay Darbha,,Nov-50,4,Seed,"Aug 20, 2018","$ 22,90,000.00",Seed,"$ 30,14,000.00",SGS,,,,,1
Cabsguru,Android,Apps,New Delhi,Delhi,"Cabsguru is an Android app that lists cab services around an individual, allowing them to examine the fees and reserve them.",—,—,2012,cabsguru.com,2,Pulkit Ahuja,Vikash Singh,51-100,1,Seed,"Dec 15, 2015","$ 2,00,000.00",Seed,"$ 2,00,000.00",Prashanth Ranganathan,,,,,1
Dineout,E-Commerce,Food and Beverage,Noida,Uttar Pradesh,Dineout is a restaurant tech platform focusing on providing cashless payment experiences for diners reserving tables at restaurants.,201301,$100M to $500M,2012,www.dineout.co.in,5,Ankit Mehrotra,Nikhil Bakshi,251-500,1,M&A,"Jan 24, 2014",—,Series A,—,,,,,,—
RedPolka,E-Commerce,Fashion,Mumbai,Maharashtra,India-based online podium for curated designs in fashion & lifestyle for women,400013,$1M to $10M,2014,www.redpolka.com/,1,Vishakha Singh,,01-Oct,1,Seed,"May 15, 2015","₹ 1,60,00,000.00",Angel,"₹ 1,60,00,000.00",,,,,,—
MyDentistChoice,Health Care,Medical,Hyderabad,Andhra Pradesh,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,500032,Less than $1M,2014,www.mydentistchoice.com,2,Chandra Shekar,sivaprasad pinnapurala,Nov-50,2,Seed,"Aug 23, 2018","$ 5,00,000.00",Seed,"$ 6,50,000.00",,,,,,—
RANGRAGE,Art,Fashion,,,A hand-painted fashion products brand,452016,$1M to $10M,"Feb 15, 2013",www.rangrage.in/,2,India,Asia-Pacific (APAC),Nov-50,1,Seed,"Mar 15, 2016","$ 3,00,000.00",Seed,"$ 3,00,000.00",Gagan Jain,Neeti Jain,,,,—
Niffler,Advertising,Local,Mumbai,Maharashtra,Enables advertising and promotion,—,$1M to $10M,2014,www.niffler.in,3,Edul Patel,Prince Arora,01-Oct,1,M&A,"Mar 4, 2015","$ 10,00,000.00",Seed,"$ 10,00,000.00",SAIF Partners,,,,,1
LensPick.com,E-Commerce,Wholesale,Hyderabad,Andhra Pradesh,Lens Pick is an online retailer for prescription and non-prescription eyewear,—,$1M to $10M,2013,www.lenspick.com/,1,Dileep Byra,,101-250,1,Seed,"Sep 13, 2016","$ 5,00,000.00",Seed,"$ 5,00,000.00",Scadea Solutions,,,,,1
Tsepak Technologies,E-Commerce Platforms,,Bangalore,Karnataka,"Tsepak Technologies Pvt. Ltd. develops Goodbox, the platform that gives an App presence for all businesses.",560076,$1M to $10M,2012,tsepak.com/,1,Mohit Maheshwari,,Nov-50,1,Seed,"May 26, 2015","$ 2,00,000.00",Seed,"$ 2,00,000.00",Manipal Group,Charan Padmaraju,Aprameya Radhakrishna,,,3
Athena Wisdom,Artificial Intelligence (AI),Human Computer Interaction,Bangalore,Karnataka,"Athena Wisdom understands, predicts, and influences the dynamics of human behavior.",—,—,2013,athenawisdom.com/,—,,,Nov-50,2,Early Stage Venture,"Sep 1, 2014","$ 50,00,000.00",Series A,"$ 50,00,000.00",MIT Media Lab,Marker,,,,2
Plancess Edu Solutions Pvt Ltd,Education,Video,Mumbai,Maharashtra,Plancess Edu-Solutions Pvt Ltd is founded by 3 IITians. We provide powerful IIT JEE online coaching through effective online video lectures.,400072,$50M to $100M,"Apr 1, 2012",www.plancess.com/,3,Mirik Gogri,Nitesh Salvi,101-250,1,M&A,"May 12, 2015","$ 20,00,000.00",Seed,"$ 20,00,000.00",Chandrakant Gogri,Rajendra Gogri,,,,2
Parvata Foods,Agriculture,Farmers Market,Kolkata,West Bengal,Parvata Foods is a socio-commercial enterprise that builds a farmer-centric integrated value chain.,700001,—,2013,www.parvatafoods.com/,2,Anurag Agarwal,Siddhi Karnani,Nov-50,2,Seed,"Aug 1, 2016",—,Seed,"$ 50,000.00",Village Capital,IIMA Ventures,VilCap Investments,Upaya Social Ventures,,4
SHRI,Water Purification,,Bihar,Bihar,SHRI fights alongside communities to end open defecation as a key step in an ongoing struggle for health equity.,—,—,2013,www.sanrights.org,3,Anoop Jain,Chandan Kumar,01-Oct,2,Seed,"Mar 22, 2016","$ 1,20,000.00",Pre-Seed,"$ 2,20,000.00",Y Combinator,MassChallenge,,,,2
Online RTI,Consumer,Online Portals,Bangalore,Karnataka,Online RTI is a company that helps Indian Citizens file RTI Applications Online even at home.,560075,$1M to $10M,"Sep 1, 2012",www.onlinerti.com,2,Pradeep Bhatt,Vinoth Ranganathan,01-Oct,2,—,"Jan 1, 2019",—,Venture - Series Unknown,"$ 1,50,000.00",LetsVenture,The Morpheus,Mohandas Pai,,,3
Sellerworx,E-Commerce,Information Technology,Bangalore,Karnataka,Sellerworx provides products and services for retailers and merchants.,560102,—,2014,www.sellerworx.com,3,Chandramouly Kandachar,Ganesamurthi G,51-100,1,M&A,"Feb 6, 2015","$ 10,00,000.00",Series A,"$ 10,00,000.00",Axilor Ventures,,,,,1
Mintbook,Content,EdTech,Bangalore,Karnataka,Online Digital Library | Smart Learning Device,560102,—,"Dec 30, 2013",mintbook.com/,2,Kalaivani Chittaranjan,Sasmita Bebortha,Nov-50,1,Seed,"Sep 12, 2019","₹ 50,000.00",Seed,"₹ 50,000.00",Edupreneur Village Fund,,,,,1
Arohan Foods,Food and Beverage,Food Processing,Guwahati,Assam,Arohan Foods is a food processing company that creates farmer organizations for Hygenic rearing of pigs.,—,—,"Jun 1, 2011",arohanfoods.com/,3,Anabil Goswami,Arindom Hazarika,Nov-50,4,Early Stage Venture,"Nov 1, 2014","$ 6,20,000.00",Series B,"$ 14,58,500.00",Omnivore,,,,,1
British Brewing Company,Food and Beverage,Restaurants,Mumbai,Maharashtra,British Brewing Company owns and operates neighborhood restaurants and bars.,—,—,"Jan 1, 2012",www.britishbrewingco.com/,1,Ajit Dhumal,,51-100,1,—,"May 14, 2019","$ 1,42,00,000.00",Venture - Series Unknown,"$ 1,42,00,000.00",NeoMile Capital,,,,,1
Laundrokart,E-Commerce,Internet,Bangalore,Karnataka,Laundry services,560102,—,"Jan 1, 2014",www.laundrokart.com/,2,Ravi Raghav,Vineet Patil,Nov-50,1,Seed,"Jul 21, 2014","$ 70,000.00",Pre-Seed,"$ 70,000.00",,,,,,—
Silly Monks Entertainment Limited,Content,Film,Hyderabad,Andhra Pradesh,Hyderabad-based digital entertainment company,500 084,$1M to $10M,2013,www.sillymonks.com/,2,Anil Pallala,Sanjay Reddy,51-100,1,IPO,"Jun 6, 2016","$ 4,48,000.00",Angel,"$ 4,48,000.00",Sreenivasa Reddy Musani,,,,,1
Bibox,Education,Hardware,Bangalore,Karnataka,Bibox Tool is a includes a set of hardware and software to educate students,560 100,—,2012,www.bibox.in/,0,,,51-100,1,Seed,"Nov 17, 2015","$ 5,30,000.00",Angel,"$ 5,30,000.00",,,,,,—
familyshop18.com,Brand Marketing,E-Commerce,Varanasi,Uttar Pradesh,"familyshop18.com is an online shopping company headquartered in Mughalsarai, Varanasi India.",221002,Less than $1M,2014,familyshop18.com,party wear dresses,kurtas,sarees,leggings and more.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
discount codes & deals. Payment options - COD,"Debit card & more. Buy Now!\\""\""",—,—,—,,—,"May 20, 2017","$ 10,00,000.00",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/yepme-com,,,,,,,,,,,,,,,,
Tierra Seed Science,Agriculture,Biotechnology,Hyderabad,Andhra Pradesh,Tierra Seed Science is an agriculture technology company that focuses on developing innovative seeds stacked with proprietary traits.,500 082,—,"Jan 1, 2012",www.tierraseedscience.com,3,Parthasarathi B.,Suresh Atluri,Nov-50,2,M&A,"May 30, 2019",—,Series A,"$ 4,49,000.00",Kaushal Raj Singh Thakur,Baldev Raj Arora,,,,2
MockBank,E-Learning,Education,Bengaluru,Karnataka,Mockbank is the ideal platform to prepare for your dream job in the government sector. We help aspirants achieve their dreams.,560034,$1M to $10M,2013,www.mockbank.com,3,Konark Singhal,Manesh Jain,Nov-50,1,Seed,"Sep 8, 2015","$ 4,00,000.00",Seed,"$ 4,00,000.00",Blume Ventures,,,,,1
Sun Telematics Private Ltd,Apps,Business Intelligence,Bangalore,Karnataka,The company provides mobile app based moving asset intelligence,560047,$1M to $10M,"May 23, 2013",www.suntelematics.com,2,Bosco Antony Sheen,Sasikumar Arumugham,Nov-50,3,Seed,"Jan 17, 2017","$ 5,00,000.00",Seed,"$ 10,00,000.00",JITO Angel Network,,,,,1
MealTango,Cooking,Food Delivery,Pune,Maharashtra,MealTango offers an online platform that enables its users to order homemade food.,411013,$1M to $10M,2013,mealtango.com/,2,Neeta Valecha,Saket Khanna,Nov-50,2,Seed,"Jan 25, 2018","$ 1,72,843.00",Angel,"$ 2,82,843.00",Brand Capital,,,,,1
FindURClass,Education,Information Services,Mumbai,Maharashtra,FindURClass is a search and discovery platform that provides its users with information on all extracurricular activities and hobby classes.,400072,—,"Apr 1, 2013",www.findurclass.com,2,Aakash Jethwani,Rina Nathani,Nov-50,2,—,"Jan 28, 2016",—,Venture - Series Unknown,"$ 2,50,000.00",Artha Group,Anirudh A Damani,Anand Ladsariya,Amit Patni,VentureNursery,6
Soho Mattress,Furniture,,Mumbai,Maharashtra,"Soho Mattress designs, manufactures and sells mattresses, pillows, and bedding online.",400001,$1M to $10M,"Sep 23, 2013",sohomattress.in,—,,,101-250,1,Early Stage Venture,"Sep 23, 2019","$ 1,50,00,000.00",Series A,"$ 1,50,00,000.00",,,,,,—
Celerix Technologies,FinTech,Hardware,Bangalore,Karnataka,Celerix Technologies is a financial technology Product and Services company focused on FPGA-based hardware accelerated technologies.,560 102,—,2013,celerixtech.com/,1,Nagesh Kodavali,,Nov-50,2,—,"Jan 1, 2019",—,Venture - Series Unknown,"$ 4,00,000.00",Bitkemy Ventures,Touchstone Equities,,,,2
SnackExperts,Agriculture,E-Commerce,Chennai,Tamil Nadu,SnackExperts provides an online snack delivery platform created to offer healthy snacking options.,600101,—,2014,snackexperts.com/,3,Arul Murugan Palanichamy,Arun Prakash,Nov-50,3,Seed,"Mar 8, 2017","$ 1,79,906.00",Seed,"$ 2,71,884.00",Navnit Krishna,Shobhit Anand Das,Rohit Anand Das,Dipti Ranjan Pattnaik,,4
Augrav,Fashion,Jewelry,Coimbatore,Tamil Nadu,Augrav is a jewelry retailer that offers customized gold and diamond jewelry items to its clients.,—,Less than $1M,2013,www.augrav.com/,1,Vivek Krishna,,01-Oct,1,Seed,"Jul 14, 2016","$ 4,50,000.00",Seed,"$ 4,50,000.00",Keiretsu Forum,,,,,1
mElimu,EdTech,Education,Noida,Uttar Pradesh,Cost Effective Digital University-in-a-Box Platform,201301,—,2012,www.melimu.com/,3,Damnish Kumar,Rajeev Gupta,51-100,1,Seed,"Aug 10, 2014","$ 3,00,000.00",Seed,"$ 3,00,000.00",,,,,,—
Gray Matters,EdTech,Education,Hyderabad,Andhra Pradesh,Gray Matters is an educational assessment company that makes education child-centric.,—,—,"Jan 1, 2013",www.graymatters.in/,1,Pradeep Sharma,,Nov-50,2,M&A,"Sep 27, 2015","$ 6,16,000.00",Seed,"$ 13,35,429.00",Michael & Susan Dell Foundation,,,,,1
Yindutong,Art,Media and Entertainment,Gurgaon,Haryana,"Yindutong provides information on Indian life strategy, Indian business guide, and communication platform between Chinese in India.",—,—,"Jul 5, 2013",www.yindutong.com,1,Jian Li,,Nov-50,2,Early Stage Venture,"Nov 15, 2017","CN¥ 1,00,00,000.00",Series A,"CN¥ 1,30,00,000.00",China Merchants Venture Capital,SHAREit,Empower Investment,Electronic Soul Ventures,Longying Network,5
SuperSurfaces,Building Material,Furniture,Hyderabad,Andhra Pradesh,SuperSurfaces is an interior design company focussed on luxury wall and surface finishing.,500 033,—,2014,supersurfaces.in/,1,Kumar Varma,,Nov-50,1,Seed,"Jan 3, 2020","$ 5,00,000.00",Angel,"$ 5,00,000.00",Vishnu Reddy,,,,,1
Hopping Chef,E-Commerce,Food and Beverage,Mumbai,Maharashtra,Hopping Chef is an online platform that connects professional chefs with consumers.,—,—,2014,www.hoppingchef.com,3,Dhaval Udeshi,Shaival Chandra,01-Oct,1,Seed,"Jul 7, 2015","$ 4,70,000.00",Seed,"$ 4,70,000.00",Mirah Hospitality,,,,,1
JBR Interio,Home Decor,Information Technology,Hyderabad,Andhra Pradesh,JBR Interio Technologies provides interior design solutions through its web platform.,500032,Less than $1M,2014,www.jbrinteriors.com,2,Brinda Goswami,Shailesh Goswami,Nov-50,2,—,"May 27, 2015","$ 10,00,000.00",Venture - Series Unknown,"$ 25,00,000.00",Astarc Ventures,Brick Eagle,,,,2
Nayi Disha Studios,Children,Education,New Delhi,Delhi,Make immersive educational apps for children all over the world.,110028,—,"Jun 21, 2012",www.nayidishastudios.com,2,Kartik Aneja,Kushal Bhagia,Nov-50,1,Seed,"Apr 13, 2015","$ 3,20,000.00",Seed,"$ 3,20,000.00",Ajay Relan,,,,,1
ThinkZone (Odisha),Association,Communities,Cuttack,Orissa,ThinkZone is an award winning social impact startup that enables women entrepreneurs to drive technology.,753014,—,2014,thinkzone.in/,1,Binayak Acharya,,Nov-50,1,—,"Feb 21, 2019","$ 1,04,000.00",Venture - Series Unknown,"$ 1,04,000.00",Gray Matters Capital,,,,,1
Get My Peon,Delivery Service,Professional Services,Mumbai,Maharashtra,Get My Peon is an innovative errand-running and same-day delivery service.,400 050,—,2012,getmypeon.com,1,Bharat Ahirwar,,51-100,1,Seed,"Jun 26, 2015","$ 2,50,000.00",Seed,"$ 2,50,000.00",,,,,,—
Trancis,Internet,,Gurgaon,Haryana,Let your aspiration go diital,122002,—,2014,trancis.com,2,Arpit Mishra,Mudassir Jamal,51-100,1,Seed,"Feb 9, 2015","$ 2,70,000.00",Pre-Seed,"$ 2,70,000.00",Mudassir Jamal,,,,,1
Round One,Human Resources,Recruiting,New Delhi,Delhi,Round One is a search engine that connects job seekers with potential job referrals.,110057,—,"Apr 1, 2011",www.roundone.in,1,Nishant Mathur,,01-Oct,1,Early Stage Venture,"Mar 20, 2015","$ 10,00,000.00",Series A,"$ 10,00,000.00",Arun Duggal,,,,,1
Room n House,Internet,Marketplace,Mumbai,Maharashtra,"Room n House- an online marketplace for travelers to find and book places rented out by homeowners, renters, and landlords.",400062,$1M to $10M,"Nov 27, 2012",roomnhouse.com,2,Amit Solanki,Rakesh Singh,01-Oct,1,Seed,"Jul 16, 2014","₹ 1,00,00,000.00",Seed,"₹ 1,00,00,000.00",Euphoria Ventures,,,,,1
Jaipur Watch Company,Consumer Goods,E-Commerce,Jaipur,Rajasthan,India’s first bespoke Watch Company that endeavours to amalgamate the panache of the modern with the regality of the ancient.,302001,$1M to $10M,2013,jaipur.watch/,1,Gaurav Mehta,,01-Oct,2,Seed,"Oct 6, 2022",—,Seed,—,Marwari Catalysts,Sushil Sharma,Dexter Angels,Tushar kapoor,Ankur Misra,5
Tele Rickshaw,Service Industry,Transportation,Indore,Madhya Pradesh,TeleRickshaw made variety of packages of customer in order to cut the cost of travelling.,452010,$1M to $10M,2013,telerickshaw.com/,1,Karanvir Singh,,01-Oct,1,Seed,"May 20, 2015","$ 20,00,000.00",Seed,"$ 20,00,000.00",,,,,,—
BizCrum Infotech Pvt. Ltd.,B2B,E-Commerce,Delhi,Delhi,Building Transactionary B2B Marketplaces,110025,$1M to $10M,2014,www.bizcrum.com/,4,Chaitanya Rathi,Iqbal Shamsi,Nov-50,2,Seed,"Apr 23, 2018",—,Seed,—,Naukri.com,,,,,1
Crediblesoft Technology Solutions,Enterprise Software,Information Technology,Chennai,Tamil Nadu,"CredibleSoft Technology Solutions is an end-to-end software solutions company founded by leaders from the QA, software testing industry.",600100,$1M to $10M,2014,CredibleSoft.com,—,",,",https://www.crunchbase.com/person/asha-vaidya,https://www.crunchbase.com/person/debasis-pradhan,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/crediblesoft%E2%84%A2-technology-solutions,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/crediblesoft%E2%84%A2-technology-solutions,Early Stage Venture,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/crediblesoft%E2%84%A2-technology-solutions,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/crediblesoft%E2%84%A2-technology-solutions,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/crediblesoft%E2%84%A2-technology-solutions,—,,,,,
BoxMySpace,E-Commerce,Internet,Mumbai,Maharashtra,"BoxMySpace Whichever box you need, we'll bring it to you within 24 hours.",400053,$1M to $10M,2014,boxmyspace.com/,1,Pratyush Jalan,,01-Oct,2,Seed,"Aug 4, 2017",—,Seed,"$ 32,00,000.00",Singapore Angel Network,Dreamweaver Investments,AVN Business Solutions,Business Solutions,Satveer Singh Thakral,11
Korra,Fashion,Product Design,New Delhi,Delhi,Korra is a company that manufactures and sells denim jeans with emphasis on sustainability and environment.,110020,$1M to $10M,Aug-13,korra.in/,1,Shyam Sukhramani,,Nov-50,1,Seed,"Sep 22, 2015","$ 3,00,000.00",Angel,"$ 3,00,000.00",Asha Jadeja,,,,,1
Townscript,Event Management,Events,Pune,Maharashtra,Online Event Registration and Event App Platform,411028,$1M to $10M,2014,www.townscript.com,2,Sachin Sharma,Sanchit Malik,01-Oct,1,M&A,"Feb 12, 2015",—,Angel,—,Mohit Garg,Mahesh Parasuraman,Nipam Shah,,,3
tripMD,Health Care,Medical,Delhi,Delhi,Connecting local patients to trusted healthcare globally,—,—,2013,tripmd.com,2,Devashish Sharma,Matt Beck,01-Oct,1,Seed,"Dec 24, 2014","$ 45,000.00",Seed,"$ 45,000.00",TA Ventures,,,,,1
OrderZapp,Food Delivery,Snack Food,Mumbai,Maharashtra,OrderZapp is a one-stop shop to order snacks and confectioneries.,—,—,2014,www.order-zapp.com,2,Ajoy Sreedharan,Divyesh Shah,Nov-50,2,Seed,"Nov 3, 2016","$ 1,50,000.00",Seed,"$ 3,00,000.00",FasterCapital,,,,,1
Scrollback,Communities,Information Technology,Bangalore,Karnataka,"Scrollback hosts chat rooms that enable communities to connect, communicate, confer, and collaborate.",—,$1M to $10M,2013,www.scrollback.io,2,Aravind Ravi-Sulekha,Gaurav Srivastava,01-Oct,3,Seed,"Feb 5, 2015","$ 5,00,000.00",Seed,"$ 9,00,000.00",Jungle Ventures,JFDI.Asia,Singapore Angel Network,Crystal Horse Investments,,4
SoStronk,eSports,Gaming,Bengaluru,Karnataka,SoStronk is an esports gaming platform providing stable and low ping 128 tick servers for Counter-Strike: Global Offensive.,560102,—,2014,www.sostronk.com,2,Karan Misra,Prashant Prabhakar,Nov-50,2,Seed,"Sep 21, 2020",—,Seed,—,Venture Catalysts,Vinay Bansal,,,,2
Nayam Innovations,Health Care,Information Technology,Pune,Maharashtra,"The company aims to use its patented technology to provide cataract treatment at one-tenth the present cost, and with better outcomes.",411008,—,2012,nayaminnovations.com/,1,Tanuj Gigras,,Nov-50,2,—,"Jul 14, 2022",—,Venture - Series Unknown,"$ 1,00,000.00",Bharat Innovation Fund,Villgro,IAN Fund,Vinod Jain Family office,Sameer Desai,5
