company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,no of investor,founder2,investor2,investor3,investor4,investor5
Altor,Automotive,,Kolkata,West Bengal,"Altor builds smart, connected helmet solutions.",700019,—,2018,altor.tech/,4,Anirban Datta Gupta,Nov-50,4,Seed,"Aug 19, 2021",—,Pre-Seed,"$ 1,58,000.00",Venture Catalysts,2,Muhammad Bilal Shakil,"IIIT Hyderabad, India",,,
Kenyt Technologies Pvt Ltd,Advertising,Analytics,Hyderabad,Andhra Pradesh,"Kenyt.AI builds Enterprise AI Assistants to automate customer/employee engagement, assist employees and accelerate their business.",500032,$10M to $50M,"Jun 10, 2017",www.kenyt.ai,2,Kanwaljeet Singla,51-100,2,Seed,"May 14, 2020","$ 1,50,000.00",Seed,"$ 4,00,000.00",SucSEED Venture Partners,2,Peeyush Kulshrestha,Rajasthan Angel Innovators' Network,,,
AnKa SumMor Foods,Food and Beverage,Food Processing,Bangalore,Karnataka,Anka SumMor Foods is a technology-enabled income and distribution organization that presents plug-and-play service to emerging brands.,—,—,2017,www.summor.in,2,Ashok George,—,4,Seed,"Oct 13, 2021","₹ 8,60,00,000.00",Seed,"$ 19,44,341.00",Inflection Point Ventures,5,Rajiv Joshi,IndiaMART,Fireside Ventures,Brijesh Agrawal,Pratul Shroff
Chemarc,B2B,,Mumbai,Maharashtra,Chemarc is a B2B digital platform that sells and buys chemicals for vendors.,—,$1M to $10M,2017,www.chemarc.com/,optimizing processes,—,—,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/chemarc,Punit Krishna,Nov-50,1,Seed,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/chemarc,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/chemarc,https://www.crunchbase.com/person/prashant-purker-8e9e,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000,,,","
NymbleUp,Artificial Intelligence (AI),,Mumbai,Maharashtra,NymbleUp is an AI-powered suite of tools that help retailers drive profitability by generating demand and optimizing workforce.,—,$1M to $10M,2018,www.nymbleup.com/,—,,Nov-50,1,Seed,"Jan 4, 2023","₹ 3,00,00,000.00",Seed,"₹ 3,00,00,000.00",IvyCap Ventures,1,,,,,
Eggoz,AgTech,Food and Beverage,Gurgaon,Haryana,"Eggoz is a brand of fresh, chemical-free eggs sourced from fully integrated farmers.",122018,$1M to $10M,2017,www.eggoz.in,4,Abhishek Negi,51-100,8,Early Stage Venture,"Dec 21, 2022","$ 88,00,000.00",Series B,"$ 1,80,86,568.00",AngelList,29,Aditya Singh,LetsVenture,IvyCap Ventures,Avaana Capital,Nabventures
Comofi Medtech,Health Care,Robotics,Karnataka,India,Comofi Medtech is a healthcare robotics startup.,560064,Less than $1M,2018,www.comofimedtech.com/,5,Raghunath S Krishnappa,",,,,",Nov-50,1,Seed,"Feb 25, 2021","₹ 2,15,00,000.00",Pre-Seed,IIMA Ventures,",,",JITO Angel Network,,,,
Recotap,Artificial Intelligence (AI),Machine Learning,Bengaluru,Karnataka,Recotap is an account-based marketing company.,560 102,Less than $1M,"Jan 1, 2018",www.recotap.com,3,Arun Gopalaswami,Nov-50,2,Seed,"Sep 13, 2018",—,Seed,"$ 1,50,000.00",Techstars,3,Bargava Subramanian,Axilor Ventures,Sathish V J,,
Kyte Energy,Electric Vehicle,,Nasik,Maharashtra,Kyte Energy potential of electric vehicles to completely change the landscape of transportation & mobility.,—,$1M to $10M,2017,www.kyteenergy.com,—,,101-250,1,Early Stage Venture,"Jun 12, 2023","₹ 3,00,00,000.00",Series A,"₹ 3,00,00,000.00",ah! Ventures,2,,Soonicorn Ventures,,,
Onest,Consumer Goods,Cosmetics,Mumbai,Maharashtra,"Onest provides personal care, home care, and over-the-counter (OTC) goods.",400062,—,"Jan 16, 2018",www.onestltd.com/,—,,51-100,1,Early Stage Venture,"Feb 16, 2022","₹ 10,00,00,000.00",Series A,"₹ 10,00,00,000.00",,—,,,,,
Etrio,Automotive,Electric Vehicle,Hyderabad,Andhra Pradesh,Etrio operates as an electric vehicle startup.,500018,$1M to $10M,2017,www.etrio.in/,1,DEEPAK MV,Nov-50,1,Early Stage Venture,"Sep 29, 2020","$ 30,00,000.00",Series A,"$ 30,00,000.00",Janardhan Rao,1,,,,,
Fibroheal,Health Care,Pharmaceutical,Bangalore,Karnataka,Fibroheal is a healthcare company focused on advance & active wound care management.,—,—,"Jan 1, 2017",www.fibroheal.com,3,Bharat Tandon,01-Oct,3,—,"Nov 29, 2022","₹ 2,25,00,000.00",Venture - Series Unknown,"₹ 9,25,00,000.00",Centre for Cellular and Molecular Platforms,5,Subramanian Shivaraman,Telama Investments,Karnataka Information Technology Venture Capital Fund,Biotechnology Industry Research Assistance Council(BIRAC),Bharat Tandon
BazaarNXT,E-Commerce,Packaging Services,Bengaluru,Karnataka,BazaarNXT is an e-commerce company that optimizes the packaging procurement for Businesses using technology.,560102,—,"Jan 14, 2017",www.bazaarnxt.com,4,Deviprasad Uppala,Nov-50,3,Seed,"Nov 1, 2022",—,Seed,"$ 4,50,000.00",Sketchnote Partners,5,Dhananjaya Shivanna,Kiren Tanna,Suresh Mahadevan,Shubhrendu Koche,Saad Ahmed
Fly X Aerospace Pvt. ltd.,Aerospace,Agriculture,Lucknow,Uttar Pradesh,"Fly-x Aerospace work on the design, development and customization of Unmanned Aerial Vehicles (UAVs).",226028,—,2017,www.flyxaerospace.com/,1,Er. Shubham Yadav,01-Oct,1,Seed,"Feb 6, 2023","₹ 17,00,000.00",Seed,"₹ 17,00,000.00",,—,,,,,
Procol,Computer,Enterprise Software,Gurgaon,Haryana,Procol is a procurement platform for large enterprises to help monitor and reduce spend.,—,$1M to $10M,2018,www.procol.io,2,Gaurav Baheti,Nov-50,5,Early Stage Venture,"Sep 13, 2022","₹ 51,00,00,000.00",Series A,"$ 1,70,22,350.00",Rainmatter Capital,20,Sumit Mendiratta,Y Combinator,Blume Ventures,Surge,BEENEXT
Barton Breeze,Agriculture,Farming,Gurgaon,Haryana,Barton Breeze provides an automated hydroponic farm management system.,—,Less than $1M,2018,www.bartonbreeze.com,—,,Nov-50,1,Seed,"Feb 28, 2023","₹ 6,60,00,000.00",Seed,"₹ 6,60,00,000.00",Umang Agrawal,5,,Rajeev Bairathi,Shishir Poddar,Manish Agarwal,Niraj Kumar
Primaa,Health Care,Software,Mumbai,Maharashtra,Primaa is a health tech startup that develops software tools to assist pathologists with cancer and other diagnoses,400101,$1M to $10M,2018,www.primaalab.com/,1,Fanny SOCKEEL,Nov-50,2,Seed,"Oct 11, 2019","€ 20,00,000.00",Seed,"€ 20,00,000.00",50 Partners,7,,AGORANOV,Damien Guermonprez,Pleiade Venture,Angels Santé
Renkube,Renewable Energy,Solar,Bengaluru,Karnataka,"Renkube is a business with a focus on renewable energy, and its innovators are in the field of solar panel Motion Free Optical Tracking.",560072,Less than $1M,2017,www.renkube.com,—,,01-Oct,1,Seed,"Aug 17, 2022","₹ 2,40,00,000.00",Seed,"₹ 2,40,00,000.00",IIMA Ventures,4,,JITO Angel Network,Halliburton Labs,K4 Forum Mumbai Network,
Haeal,Consumer Goods,Manufacturing,Cochin,Kerala,"Haeal manufactures sanitizers and it also offers a wide variety of soaps, shampoos, hand washes, and beauty aids.",682016,—,2018,haeal.com/,—,,101-250,1,Seed,"Nov 7, 2022","₹ 11,00,00,000.00",Angel,"₹ 11,00,00,000.00",Alex K Babu,2,,Raveendranath Kamath,,,
MoooFarm,Apps,Information and Communications Technology (ICT),Gurgaon,Haryana,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,—,$1M to $10M,2018,mooo.farm,2,Aashna Singh,Nov-50,5,Early Stage Venture,"Nov 30, 2022","₹ 94,00,00,000.00",Series A,"$ 1,65,96,357.00",Accel,6,Param Singh,Rockstart,Alteria Capital,Navus Ventures,Aavishkaar Capital
Woolly,Farming,,Bengaluru,Karnataka,Woolly is a farming platform that combines urban potential with farming techniques to produce pesticide-less nutrition-rich fresh food.,—,—,"Jan 1, 2017",woolly.io/,4,Bushair A P,01-Oct,1,Seed,"Jun 7, 2022","₹ 4,39,00,000.00",Seed,"₹ 4,39,00,000.00",Mumbai Angels,4,Nithun KV,Callapina Capital,Malabar Angels,Mentorous Ventures,
Kamatan Farm Tech,Agriculture,AgTech,New Delhi,Delhi,Building inclusive and sustainable agri value chains in India,110048,$1M to $10M,"Jan 1, 2018",www.Kamatan.in,4,Amol Patil,Nov-50,4,M&A,"May 23, 2020","$ 23,30,000.00",Series B,"$ 94,44,439.00",Samunnati,3,Pravesh Sharma,Elevar Equity,Global Innovation Fund,,
Upside AI,Artificial Intelligence (AI),Financial Services,Mumbai,Maharashtra,Upside AI uses machine learning to make better investing decisions than humans over the long term.,400053,$1M to $10M,2017,upsideai.com/,3,Atanuu Agarrwal,01-Oct,1,Seed,"Jun 21, 2021","$ 12,00,000.00",Seed,"$ 12,00,000.00",Endiya Partners,4,Kanika Agarrwal,Vijay Kedia,Gopichand Katragadda,Ajay Nanavati,
Multibhashi,Developer Platform,E-Learning,Bengaluru,Karnataka,Multibashi is a free language learning platform that focuses on learning outcomes of a user.,560041,$1M to $10M,2017,multibhashi.com/,3,Aadesh Jain,Nov-50,5,Seed,"Apr 15, 2021",—,Seed,"₹ 1,00,00,000.00",Inflection Point Ventures,7,Anuradha Agarwal,RareJob,Cactus Communications,Malpani Ventures,Aniruddha Malpani
Sindhuja Microcredit,Finance,Financial Services,Ghaziabad,Uttar Pradesh,Sindhuja Microcredit is a Microfinance company.,201014,Less than $1M,2018,www.sindhujamicrocredit.com,2,Abhisheka Kumar,101-250,2,Early Stage Venture,"May 11, 2020","$ 87,00,000.00",Series B,"$ 1,27,00,000.00",Carpediem Capital,2,Malkit Singh Didyala,Nordic Microfinance Initiative,,,
GodamWale,Logistics,SaaS,Mumbai,Maharashtra,"Godamwale is SaaS based on demand warehousing and fulfilment provider. Flexible, Smart and Scalable warehousing.",400071,$1M to $10M,"Oct 12, 2017",www.godamwale.com,4,Anand Aryamane,Nov-50,1,Seed,"Sep 15, 2021","$ 10,00,000.00",Seed,"$ 10,00,000.00",Anand Aryamane,1,Basant Kumar,,,,
Param.ai,Artificial Intelligence (AI),Delivery,Hyderabad,Andhra Pradesh,Intelligent Recruiting Software Designed for Efficient Hiring,—,Less than $1M,Sep-17,param.ai,2,Ashish Kumar Sahoo,Nov-50,2,Seed,"Mar 1, 2019","$ 1,38,000.00",Seed,"$ 6,38,000.00",Rajesh Sawhney,9,Hari Krishna Morthala,Ashish Vidyarthi,Core Financials,Peter Kabel,Sanjay Jesrani
Imbue Natural,,,Gurgaon,Haryana,Imbue Natural is a wellness brand that offers health and intimate wellness products.,—,—,2018,imbuenatural.com,3,Anupriya Kapur,Nov-50,2,Seed,"Jan 15, 2022","₹ 4,50,00,000.00",Seed,"₹ 6,65,00,000.00",,—,SAK Rajesh,,,,
DangalGames,Casual Games,Fantasy Sports,Kolkata,West Bengal,DangalGames is a skill-based online gaming platform where users can win cash prizes while playing games.,—,—,2017,dangalgames.com/,5,Karan Gandhi,51-100,2,Early Stage Venture,"Jul 1, 2020","$ 20,00,000.00",Series A,"$ 23,50,000.00",,—,Manan Sobti,,,,
GuruQ,Reading Apps,,New Delhi,Delhi,A one of its kind digital integrated platform connecting tutors and students.,—,$1M to $10M,Jan-17,www.guruq.in/,1,Minal Anand,Nov-50,2,Seed,"Oct 23, 2018","₹ 2,50,00,000.00",Seed,"₹ 2,50,00,000.00",23 High Networth Individuals (HNIs),1,,,,,
Tekie,EdTech,Education,Gurgaon,Haryana,Tekie is a live coding platform that brings the art of storytelling to make learning a movie-like experience.,122002,$1M to $10M,2017,www.tekie.in/,2,Anand Verma,51-100,1,M&A,"May 24, 2021","$ 15,00,000.00",Seed,"$ 15,00,000.00",GSV Ventures,3,Naman Mukund,Better Capital,Multiply Ventures,,
Wubba Lubba Dub Dub,Advertising,Content Creators,Bangalore,Karnataka,"Wubba Lubba Dub Dub is a digital communication agency that provides meme campaigns, influencer marketing, and content on-demand services.",560004,$1M to $10M,2018,wldd.in,—,,51-100,1,Seed,"Apr 11, 2023","$ 12,50,000.00",Seed,"$ 12,50,000.00",Negen Capital Services,1,,,,,
Shri Chyawan Ayurved,Health Care,Retail,Raipur,Chhattisgarh,Shri Chyawan Ayurved offers herbal products.,493661,—,2018,www.shrichyawanayurved.com/,—,,51-100,1,Seed,"Jul 19, 2022","₹ 1,53,00,000.00",Seed,"₹ 1,53,00,000.00",Dhaval Shah,2,,Vibhor Kanodia,,,
Houm,Internet,Network Security,Mumbai,Maharashtra,Houm is a start-up company that provides a private communication channel with privacy on the internet.,400059,—,Jan-18,houm.me,2,Bijai Jayarajan,Nov-50,1,Early Stage Venture,"Jan 1, 2018","$ 35,00,000.00",Series A,"$ 35,00,000.00",Bijai Jayarajan,1,Priya Goenka,,,,
Farmizen,AgTech,Farming,Bengaluru,Karnataka,Farmizen is an organic farming platform that controls farm through an available app.,560066,Less than $1M,2017,www.farmizen.com,1,Shameek Chakravarty,01-Oct,1,Seed,"Sep 8, 2017","$ 2,96,585.00",Seed,"$ 2,96,585.00",Venture Highway,4,,Alok Mittal,Mohit Agarwal,Anuj Gupta,
Amama Jewellery,Fashion,Jewelry,Delhi,Delhi,Amama Jewellery is a designer and manufacturer of premium fashion jewellery for women.,110091,—,2017,www.amama.in/,—,,101-250,1,Seed,"Jan 18, 2023","₹ 2,00,00,000.00",Seed,"₹ 2,00,00,000.00",She Capital,1,,,,,
Lugsto,Retail,,Noida,Uttar Pradesh,"Lugsto is a luggage storage network that offers cloakrooms located near major retail outlets, hotels, railway stations, and airports.",201301,Less than $1M,2018,www.lugsto.com,—,,01-Oct,1,Seed,"Jan 1, 2022","₹ 5,50,00,000.00",Angel,"₹ 5,50,00,000.00",,—,,,,,
Bigyellowfish,Real Time,Shipping,Chennai,Tamil Nadu,Bigyellowfish is an employee engagement platform.,—,$1M to $10M,2018,www.bigyellowfish.io,2,Kunal Pancholi,01-Oct,1,Seed,"Dec 21, 2022","$ 11,00,000.00",Seed,"$ 11,00,000.00",Anicut Capital,3,Soma Sundar Gollakota,Powerhouse Ventures,Innoport,,
Fedo,Artificial Intelligence (AI),Computer Vision,Bangalore,Karnataka,"Fedo, extract vitals, predicts health risks and the associated costs from a 14-second selfie video.",560102,$1M to $10M,"Mar 21, 2018",fedo.ai,1,Prasanth Madavana,Nov-50,2,Seed,"Nov 3, 2020","$ 10,00,000.00",Seed,"$ 10,00,000.00",Seafund,4,,Unicorn India Ventures,AIM Smart City,Ashish Mehrotra,
moneytor,Compliance,Debt Collections,Mumbai,Maharashtra,Moneytor is making debt collection more efficient.,400001,$1M to $10M,2017,moneytor.in/,2,Anubhav Singh,Nov-50,1,Seed,"Jan 11, 2018","$ 3,00,000.00",Pre-Seed,"$ 3,00,000.00",500 Global,2,Ayush Srivastava,ISME ACE - FinTech Accelerator,,,
Rapawalk,E-Commerce,Fashion,Bangalore,Karnataka,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,560008,$1M to $10M,2017,www.rapawalk.com/,2,Aravind Maddireddy,01-Oct,3,Seed,"Nov 12, 2020","$ 3,00,000.00",Seed,"$ 6,45,170.00",Inflection Point Ventures,5,Kashif Mohammad,Paipal Ventures,Ravi Garikipati,Raveen Sastry,Sanjay Ramakrishnan
Bridge2Capital,Financial Services,FinTech,Delhi,Delhi,Bridge2Capital is a fintech platform which offers e-invoice-based financing for small businesses.,110058,$1M to $10M,"Jan 1, 2017",bridge2capital.com,4,Gopi Krishna,01-Oct,1,M&A,"May 21, 2020","$ 10,00,000.00",Angel,"$ 10,00,000.00",,—,Mohammed Riaz,,,,
RTIwala,Consulting,Content Creators,Bhopal,Madhya Pradesh,"RTIwala is a citizen-centric Legaltech startup, empowering the masses through sensible content and affordable legal solutions.",464993,Less than $1M,"Nov 22, 2017",www.rtiwala.com,big MNCs,and Bureaucrats,Articles,Charticles,—,—,—,2,Kritika Mahendra,01-Oct,—,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/rtiwala,Pontaq,1,1,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00000000
Workruit,Employment,Human Resources,Hyderabad,Andhra Pradesh,"Workruit provides a suite of apps for Resume Builder, Job Training, Job Search and Assessments.",—,Less than $1M,Aug-17,workruit.com,1,Manikanth Challa,Nov-50,1,Seed,"Oct 17, 2022","$ 5,00,000.00",Seed,"$ 5,00,000.00",Kantamaneni Family Office,1,,,,,
SmartReach.io,Email,Information Technology,Hyderabad,Andhra Pradesh,Sales Engagement Software Specialising in B2B Sales Outreach,500032,Less than $1M,"Dec 4, 2017",smartreach.io,2,Akhilesh Betanamudi,Nov-50,1,Seed,"Apr 9, 2018","$ 70,000.00",Pre-Seed,"$ 70,000.00",,—,Prateek Bhatt,,,,
MEDdelivery,Health Care,Pharmaceutical,Jaipur,Rajasthan,MEDdelivery operates as a B2B pharma-tech startup.,302039,—,2018,meddelivery.in/,3,Aastha Dusad,01-Oct,1,Seed,"Sep 27, 2021","₹ 7,40,00,000.00",Seed,"₹ 7,40,00,000.00",LetsVenture,5,Rahul Gautam,Faad Network,Auxano,Venture Garage,Kisho Capital
Hemp Horizons,Cannabis,E-Commerce,Noida,Uttar Pradesh,Cannabis and Hemp company,201301,Less than $1M,Apr-17,www.thehealthhorizons.com,3,Kanishk Yadav,Nov-50,2,Seed,"Apr 25, 2022",—,Seed,"₹ 2,00,00,000.00",AngelList,4,Kartikey Dadoo,Mumbai Angels,Hindustan Media Venture,Bikky Khosla,
Intugine Technologies,Internet of Things,Logistics,Bangalore,Karnataka,Intugine Technologies is a SaaS technology company that helps businesses optimize logistics and supply chain operations.,560034,$1M to $10M,2017,www.intugine.com,3,Ayush Agrawal,101-250,3,Seed,"Nov 29, 2022","₹ 19,00,00,000.00",Seed,"₹ 19,00,00,000.00",Inflection Point Ventures,11,Harshit Shrivastava,Mela Ventures,Innoport,Mitesh Shah,Ankur Mittal
Botman,Fraud Detection,Information Services,Bengaluru,Karnataka,Botman offers solutions that give maximum control to the traffic buyers and enable them to filter what they don't need.,—,$1M to $10M,2017,www.botman.ninja/,2,Deepankar Biswas,01-Oct,1,Seed,"Jul 8, 2021","₹ 1,50,00,000.00",Seed,"₹ 1,50,00,000.00",Pentathlon Ventures,2,Raja T N,Modulor Capital,,,
WonDRx,Electronic Health Record (EHR),Health Care,Mumbai,Maharashtra,"Pronounced as Wonder RX. WonDRx prescription serves as the foundation of connected healthcare, it helps optimize clinical practices.",—,$1M to $10M,2018,www.wondrx.com/,2,Pankaj Agrawal,Nov-50,2,Seed,"Nov 28, 2019","$ 10,00,000.00",Seed,"$ 10,00,000.00",Venture Catalysts,2,Pankaj Sindhu,NB Ventures,,,
EdYoda,E-Learning,EdTech,Bangalore,Karnataka,India's most affordable employability focused LIVE learning platform!,560037,—,2017,www.edyoda.com/,2,Arman Ahmed,51-100,1,Seed,"Mar 31, 2023","$ 2,50,000.00",Pre-Seed,"$ 2,50,000.00",,—,Awantik Das,,,,
Nosh,Electronics,Robotics,Bangalore,Karnataka,Nosh is a home cooking robot controlled by an app that can prepare a wide variety of foods.,560066,$1M to $10M,2018,www.letsnosh.io/,3,Amit Kumar Gupta,01-Oct,1,Seed,"Nov 24, 2022","$ 10,00,000.00",Pre-Seed,"$ 10,00,000.00",Vijay Pravin Maharajan,3,Pranav Raval,Supermorpheus,BITS Spark Angels,,
Nutty Yogi,Organic Food,Snack Food,Bangalore,Karnataka,Nutty Yogi is a Bengaluru-headquartered clean-labelled organic food brand.,—,$1M to $10M,2017,nuttyyogi.com/,—,,—,1,Seed,"May 5, 2022","₹ 5,00,00,000.00",Seed,"₹ 5,00,00,000.00",Multiply Ventures,1,,,,,
Hapramp Studio,Blockchain,Cryptocurrency,Gurgaon,Haryana,"Hapramp Studio is an internet company that specializes in the fields of blockchain, cryptocurrency, and social media.",122017,—,2018,www.hapramp.com,4,Ankit Kumar,01-Oct,2,Seed,"Jun 10, 2020","$ 10,00,000.00",Seed,"$ 10,00,000.00",Huddle,2,Mofid Ansari,Anand Mahindra,,,
Rivi,Artificial Intelligence (AI),Consulting,Bengaluru,Karnataka,Rivi is an AI and Technology company.,560001,Less than $1M,"Sep 15, 2017",rivi.co,1,Mayank Makkar,Nov-50,1,Seed,"Oct 30, 2019","$ 1,50,000.00",Pre-Seed,"$ 1,50,000.00",,—,,,,,
Logibricks Technologies,B2B,Software,Pune,Maharashtra,Logibricks Technologies is a B2B enterprise software product company.,—,—,"Feb 1, 2017",www.logibricks.in/,4,Ameya Shah,Nov-50,1,Seed,"Feb 4, 2022","$ 15,00,000.00",Seed,"$ 15,00,000.00",Shiprocket,1,Chandni Priya,,,,
NewsReach India,Advertising,,Gujarat,India,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,380001,—,2018,www.newsreach.in,2,Soniya Kundnani,",",Nov-50,5,—,"Mar 9, 2022","$ 80,000.00",Venture - Series Unknown,HEM ANGELS,",,,,",Mumbai Angels,,,,
Medtel Healthcare,Clinical Trials,Fitness,Bhubaneswar,Orissa,An aggregator for Digital Health Clinics in low resource settings.,751024,$10M to $50M,2017,medtel.in/,7,Ajit Choudhury,Nov-50,2,Seed,"May 14, 2021","$ 5,00,000.00",Seed,"$ 6,43,318.00",Bharat Petroleum Corp.,3,Dr. Soumyakant Das,Startup Odisha,Innovative Ventures and Technologies for Development(INVENT),Siba Prasad Panda,
Jiny,Enterprise Software,Guides,Bangalore,Karnataka,"Jiny is a novel, award-winning platform powering the largest tech companies to simplify digital experiences for the next billion users.",560048,$1M to $10M,"Apr 20, 2017",www.jiny.io/,2,Kushagra Sinha,Nov-50,2,M&A,"Jul 15, 2019","$ 7,20,000.00",Seed,"$ 10,70,000.00",3one4 Capital,4,Sahil Sachdeva,Ankur Capital,Phanindra Sama,Ritesh Jain,
